Sipariş No;Tarih;Brüt Tutar;Komisyon;Komisyon KDV;Diğer Kesinti;Net Ödeme;Açıklama
YS-480172;23.08.2026;260,06;46,81;9,36;0,00;198,88;
YS-480173;24.08.2026;678,63;122,15;24,43;0,00;519,37;
YS-480174;25.08.2026;619,91;111,58;22,32;0,00;499,11;
YS-480175;26.08.2026;549,60;98,93;19,79;0,00;430,33;
YS-480176;27.08.2026;785,17;141,33;28,27;0,00;600,98;
YS-480177;28.08.2026;583,15;122,46;24,49;0,00;427,50;
YS-480178;29.08.2026;608,20;109,48;21,90;0,00;-131,38;
YS-480179;30.08.2026;772,46;139,04;27,81;0,00;591,43;
YS-480180;01.08.2026;708,75;127,57;25,51;0,00;-153,08;
YS-480181;02.08.2026;148,64;26,76;5,35;0,00;-32,11;
YS-480182;03.08.2026;343,82;61,89;12,38;0,00;287,59;
YS-480183;04.08.2026;184,79;33,26;6,65;0,00;165,59;
YS-480184;05.08.2026;520,88;93,76;18,75;0,00;398,51;
YS-480185;06.08.2026;529,87;95,38;19,08;0,00;415,75;
YS-480186;07.08.2026;583,78;105,08;21,02;0,00;-126,10;
YS-480187;08.08.2026;568,24;102,28;20,46;0,00;444,61;
YS-480188;09.08.2026;265,19;47,73;9,55;0,00;203,16;
YS-480189;10.08.2026;811,76;146,12;29,22;0,00;631,71;
YS-480191;12.08.2026;313,26;56,39;11,28;0,00;239,63;
YS-480192;13.08.2026;678,67;122,16;24,43;0,00;519,93;
YS-480193;14.08.2026;734,09;132,14;26,43;0,00;562,02;
YS-480194;15.08.2026;127,62;22,97;4,59;0,00;107,58;
YS-480195;16.08.2026;360,00;64,80;12,96;0,00;-77,76;
YS-480196;17.08.2026;787,21;141,70;28,34;0,00;603,08;
YS-480197;18.08.2026;639,88;115,18;23,04;0,00;-138,22;
YS-480198;19.08.2026;558,45;100,52;20,10;0,00;427,48;
YS-480199;20.08.2026;401,91;72,34;14,47;0,00;318,27;
YS-480200;21.08.2026;640,78;115,34;23,07;0,00;490,54;
YS-480201;22.08.2026;0,00;141,21;28,24;0,00;-169,45;
YS-480202;23.08.2026;810,49;145,89;29,18;0,00;623,09;
YS-480203;24.08.2026;422,51;76,05;15,21;0,00;348,24;
YS-480204;25.08.2026;486,05;87,49;17,50;0,00;383,63;
YS-480205;26.08.2026;0,00;0,00;0,00;0,00;0,00;
YS-480206;27.08.2026;322,87;67,80;13,56;0,00;-81,36;
YS-480207;28.08.2026;836,56;150,58;30,12;0,00;640,89;
YS-480208;29.08.2026;193,61;34,85;6,97;0,00;-41,82;
YS-480209;30.08.2026;646,57;116,38;23,28;0,00;-139,66;
YS-480210;01.08.2026;542,97;97,73;19,55;0,00;415,97;
YS-480211;02.08.2026;399,59;71,93;14,39;0,00;317,01;
YS-480212;03.08.2026;233,04;41,95;8,39;39,94;139,21;
YS-480213;04.08.2026;167,17;30,09;6,02;0,00;128,57;
YS-480214;05.08.2026;113,89;20,50;4,10;0,00;86,90;
YS-480215;06.08.2026;487,98;87,84;17,57;0,00;374,93;
YS-480216;07.08.2026;0,00;136,05;27,21;0,00;-163,26;
YS-480217;08.08.2026;411,17;74,01;14,80;0,00;314,64;
YS-480218;09.08.2026;795,80;143,24;28,65;0,00;609,13;
YS-480219;10.08.2026;214,39;38,59;7,72;0,00;188,79;
YS-999001;15.08.2026;300,00;54,00;10,80;0,00;230,00;
